Timestamp,MAC_Address,Frame_Number,RSSI,Data_Size,Raw_Hex_Data,frame_count,frame_type,vbat,mean_mag_z,sd_mag_z,mean_acc,sd_acc,max_acc,mean_mag_z_T,sd_mag_z_T,mean_acc_ms2,sd_acc_ms2,max_acc_ms2,flow_state,is_attached,lost_frames
2025-11-17 18:01:10.887,EC:69:0B:19:32:8E,50,-79,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF AD 1C 00 00 0A 00 26 01 FF 0D 90 00 00 00 00 00 00 00 00 00,7341,10,2.94,3583,144,0,0,0,3.583,0.144,0.0,0.0,0.0,3583,True,0
2025-11-17 18:01:15.909,EC:69:0B:19:32:8E,51,-84,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF B2 1C 00 00 0A 00 26 01 25 0F 26 00 00 00 00 00 00 00 00 00,7346,10,2.94,3877,38,0,0,0,3.877,0.038,0.0,0.0,0.0,3877,True,4
2025-11-17 18:01:17.936,EC:69:0B:19:32:8E,52,-73,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF B4 1C 00 00 0A 00 26 01 12 0F 38 00 00 00 00 00 00 00 00 00,7348,10,2.94,3858,56,0,0,0,3.858,0.056,0.0,0.0,0.0,3858,True,1
2025-11-17 18:01:20.933,EC:69:0B:19:32:8E,53,-73,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF B7 1C 00 00 0A 00 26 01 7F 0E 0E 01 00 00 00 00 00 00 00 00,7351,10,2.94,3711,270,0,0,0,3.711,0.27,0.0,0.0,0.0,3711,True,2
2025-11-17 18:01:21.940,EC:69:0B:19:32:8E,54,-73,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF B8 1C 00 00 0A 00 26 01 21 0F 2C 00 00 00 00 00 00 00 00 00,7352,10,2.94,3873,44,0,0,0,3.873,0.044,0.0,0.0,0.0,3873,True,0
2025-11-17 18:01:22.953,EC:69:0B:19:32:8E,55,-77,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF B9 1C 00 00 0A 00 26 01 30 0F 3D 00 00 00 00 00 00 00 00 00,7353,10,2.94,3888,61,0,0,0,3.888,0.061,0.0,0.0,0.0,3888,True,0
2025-11-17 18:01:23.954,EC:69:0B:19:32:8E,56,-75,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF BA 1C 00 00 0A 00 26 01 28 0F 2A 00 00 00 00 00 00 00 00 00,7354,10,2.94,3880,42,0,0,0,3.88,0.042,0.0,0.0,0.0,3880,True,0
2025-11-17 18:01:25.955,EC:69:0B:19:32:8E,57,-70,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF BC 1C 00 00 0A 00 27 01 3D 0F 27 00 00 00 00 00 00 00 00 00,7356,10,2.95,3901,39,0,0,0,3.901,0.039,0.0,0.0,0.0,3901,True,1
2025-11-17 18:01:26.969,EC:69:0B:19:32:8E,58,-69,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF BD 1C 00 00 0A 00 26 01 20 0E 16 01 00 00 00 00 00 00 00 00,7357,10,2.94,3616,278,0,0,0,3.616,0.278,0.0,0.0,0.0,3616,True,0
2025-11-17 18:01:27.969,EC:69:0B:19:32:8E,59,-72,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF BE 1C 00 00 0A 00 26 01 6E 0E 0F 01 00 00 00 00 00 00 00 00,7358,10,2.94,3694,271,0,0,0,3.694,0.271,0.0,0.0,0.0,3694,True,0
2025-11-17 18:01:28.968,EC:69:0B:19:32:8E,60,-78,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF BF 1C 00 00 0A 00 26 01 2A 0F 32 00 00 00 00 00 00 00 00 00,7359,10,2.94,3882,50,0,0,0,3.882,0.05,0.0,0.0,0.0,3882,True,0
2025-11-17 18:01:31.992,EC:69:0B:19:32:8E,61,-70,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF C2 1C 00 00 0A 00 26 01 33 0F 0A 00 00 00 00 00 00 00 00 00,7362,10,2.94,3891,10,0,0,0,3.891,0.01,0.0,0.0,0.0,3891,True,2
2025-11-17 18:01:33.004,EC:69:0B:19:32:8E,62,-69,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF C3 1C 00 00 0A 00 26 01 22 0E DE 00 00 00 00 00 00 00 00 00,7363,10,2.94,3618,222,0,0,0,3.618,0.222,0.0,0.0,0.0,3618,True,0
2025-11-17 18:01:34.020,EC:69:0B:19:32:8E,63,-75,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF C4 1C 00 00 0A 00 26 01 17 0F 36 00 00 00 00 00 00 00 00 00,7364,10,2.94,3863,54,0,0,0,3.863,0.054,0.0,0.0,0.0,3863,True,0
2025-11-17 18:01:35.018,EC:69:0B:19:32:8E,64,-75,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF C5 1C 00 00 0A 00 27 01 F4 0E 42 00 00 00 00 00 00 00 00 00,7365,10,2.95,3828,66,0,0,0,3.828,0.066,0.0,0.0,0.0,3828,True,0
