Timestamp,MAC_Address,Frame_Number,RSSI,Data_Size,Raw_Hex_Data
2025-11-17 18:01:09.869,EC:69:0B:19:32:8E,49,-71,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF AC 1C 00 00 0A 00 26 01 16 0E 71 00 00 00 00 00 00 00 00 00"
2025-11-17 18:01:10.887,EC:69:0B:19:32:8E,50,-79,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF AD 1C 00 00 0A 00 26 01 FF 0D 90 00 00 00 00 00 00 00 00 00"
2025-11-17 18:01:15.909,EC:69:0B:19:32:8E,51,-84,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF B2 1C 00 00 0A 00 26 01 25 0F 26 00 00 00 00 00 00 00 00 00"
2025-11-17 18:01:17.936,EC:69:0B:19:32:8E,52,-73,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF B4 1C 00 00 0A 00 26 01 12 0F 38 00 00 00 00 00 00 00 00 00"
2025-11-17 18:01:20.933,EC:69:0B:19:32:8E,53,-73,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF B7 1C 00 00 0A 00 26 01 7F 0E 0E 01 00 00 00 00 00 00 00 00"
2025-11-17 18:01:21.940,EC:69:0B:19:32:8E,54,-73,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF B8 1C 00 00 0A 00 26 01 21 0F 2C 00 00 00 00 00 00 00 00 00"
2025-11-17 18:01:22.953,EC:69:0B:19:32:8E,55,-77,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF B9 1C 00 00 0A 00 26 01 30 0F 3D 00 00 00 00 00 00 00 00 00"
2025-11-17 18:01:23.954,EC:69:0B:19:32:8E,56,-75,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF BA 1C 00 00 0A 00 26 01 28 0F 2A 00 00 00 00 00 00 00 00 00"
2025-11-17 18:01:25.955,EC:69:0B:19:32:8E,57,-70,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF BC 1C 00 00 0A 00 27 01 3D 0F 27 00 00 00 00 00 00 00 00 00"
2025-11-17 18:01:26.969,EC:69:0B:19:32:8E,58,-69,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF BD 1C 00 00 0A 00 26 01 20 0E 16 01 00 00 00 00 00 00 00 00"
2025-11-17 18:01:27.969,EC:69:0B:19:32:8E,59,-72,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF BE 1C 00 00 0A 00 26 01 6E 0E 0F 01 00 00 00 00 00 00 00 00"
2025-11-17 18:01:28.968,EC:69:0B:19:32:8E,60,-78,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF BF 1C 00 00 0A 00 26 01 2A 0F 32 00 00 00 00 00 00 00 00 00"
2025-11-17 18:01:31.992,EC:69:0B:19:32:8E,61,-70,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF C2 1C 00 00 0A 00 26 01 33 0F 0A 00 00 00 00 00 00 00 00 00"
2025-11-17 18:01:33.004,EC:69:0B:19:32:8E,62,-69,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF C3 1C 00 00 0A 00 26 01 22 0E DE 00 00 00 00 00 00 00 00 00"
2025-11-17 18:01:34.020,EC:69:0B:19:32:8E,63,-75,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF C4 1C 00 00 0A 00 26 01 17 0F 36 00 00 00 00 00 00 00 00 00"
2025-11-17 18:01:35.018,EC:69:0B:19:32:8E,64,-75,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF C5 1C 00 00 0A 00 27 01 F4 0E 42 00 00 00 00 00 00 00 00 00"
